task1,task2,repmatch
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-cos_e_v1.11_rationale,0.03485416683057944
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-cos_e_v1.11_i_think,0.03928531888717165
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-adversarial_qa_dbert_generate_question,0.11302441513786714
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-amazon_polarity_would_you_buy,0.02009423457396527
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-cos_e_v1.11_question_option_description_text,0.03610450052656233
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-adversarial_qa_droberta_question_context_answer,0.04827804358986517
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-cos_e_v1.11_question_option_description_id,0.02216255703630547
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-dream_generate_first_utterance,0.03018463069262604
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-adversarial_qa_dbert_question_context_answer,0.05182220026229819
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-adversarial_qa_droberta_tell_what_it_is,0.05041433762138089
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-amazon_polarity_convey_negative_or_positive_sentiment,0.019999682437628508
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-app_reviews_convert_to_rating,0.029608182919522125
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-adversarial_qa_droberta_answer_the_following_q,0.04777514934539795
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-dbpedia_14_given_a_list_of_category_what_does_the_title_belong_to,0.01994916214607656
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-app_reviews_categorize_rating_using_review,0.023932305125830073
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-dbpedia_14_given_a_choice_of_categories_,0.02592200704384595
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-adversarial_qa_droberta_generate_question,0.12059798712531726
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-adversarial_qa_dbidaf_question_context_answer,0.049569732742384076
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-dbpedia_14_given_list_what_category_does_the_paragraph_belong_to,0.03018203020716707
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-cos_e_v1.11_description_question_option_text,0.03239977693495651
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-dream_generate_last_utterance,0.0352480347501114
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-adversarial_qa_dbidaf_based_on,0.04954128270037472
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-app_reviews_generate_review,0.017714542608397704
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-amazon_polarity_Is_this_review_negative,0.018847879643241566
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-dream_baseline,0.037721486606945596
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-adversarial_qa_droberta_based_on,0.04390855824264387
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-dbpedia_14_pick_one_category_for_the_following_text,0.023550033821569134
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-adversarial_qa_dbidaf_answer_the_following_q,0.0534391924738884
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-cos_e_v1.11_description_question_option_id,0.023473596045126516
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-cos_e_v1.11_explain_why_human,0.041204790119081736
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-cos_e_v1.11_generate_explanation_given_text,0.04034513250614206
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_id,0.019401788944378495
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-dream_read_the_following_conversation_and_answer_the_question,0.03646178008057177
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-adversarial_qa_dbert_tell_what_it_is,0.049252812983468175
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-amazon_polarity_User_recommend_this_product,0.022628981464852888
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-amazon_polarity_Is_this_review,0.02155429489600162
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-dream_answer_to_dialogue,0.041049793285007276
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-adversarial_qa_dbidaf_tell_what_it_is,0.05538344057276845
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-app_reviews_convert_to_star_rating,0.02435862214770168
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-cos_e_v1.11_aligned_with_common_sense,0.041713894655307136
models/result_gpt2_t0-task-adversarial_qa_dbidaf_generate_question,models/result_gpt2_t0-task-amazon_polarity_flattering_or_not,0.024477350680778425
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,0.33036135012904805
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,0.03313965598742167
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-amazon_polarity_user_satisfied,0.04161983340357741
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,0.0689095975831151
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-cos_e_v1.11_rationale,0.04345857367540399
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-cos_e_v1.11_i_think,0.048799382677922644
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-adversarial_qa_dbert_generate_question,0.04353890897861371
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-amazon_polarity_would_you_buy,0.040726907240847744
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-cos_e_v1.11_question_option_description_text,0.07445105134199063
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-adversarial_qa_droberta_question_context_answer,0.16145685936013857
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-cos_e_v1.11_question_option_description_id,0.03402333978253106
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-dream_generate_first_utterance,0.03699116063459466
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-adversarial_qa_dbert_question_context_answer,0.33167174085974693
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-adversarial_qa_droberta_tell_what_it_is,0.15095068514347076
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-amazon_polarity_convey_negative_or_positive_sentiment,0.03470638060631851
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-app_reviews_convert_to_rating,0.03578783944249153
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-adversarial_qa_droberta_answer_the_following_q,0.21876712640126547
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-dbpedia_14_given_a_list_of_category_what_does_the_title_belong_to,0.030178883112967014
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-app_reviews_categorize_rating_using_review,0.03428254268753032
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-dbpedia_14_given_a_choice_of_categories_,0.03876549184011916
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-adversarial_qa_droberta_generate_question,0.04408194303202132
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-adversarial_qa_dbidaf_question_context_answer,0.1714510271946589
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-dbpedia_14_given_list_what_category_does_the_paragraph_belong_to,0.048256739197919764
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-cos_e_v1.11_description_question_option_text,0.07157730745772521
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-dream_generate_last_utterance,0.04524960004103681
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-adversarial_qa_dbidaf_based_on,0.15723205854495367
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-app_reviews_generate_review,0.020627128697621327
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-amazon_polarity_Is_this_review_negative,0.021842698178564508
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-dream_baseline,0.07437748896578948
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-adversarial_qa_droberta_based_on,0.16211740300059319
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-dbpedia_14_pick_one_category_for_the_following_text,0.043440192472189665
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-adversarial_qa_dbidaf_answer_the_following_q,0.20179998377958933
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-cos_e_v1.11_description_question_option_id,0.027235290986330558
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-cos_e_v1.11_explain_why_human,0.04472016589716077
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-cos_e_v1.11_generate_explanation_given_text,0.04522366666545471
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_id,0.032801535756637655
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-dream_read_the_following_conversation_and_answer_the_question,0.07425457208106916
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-adversarial_qa_dbert_tell_what_it_is,0.3260101117193699
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-amazon_polarity_User_recommend_this_product,0.026891511011247832
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-amazon_polarity_Is_this_review,0.035890865760544934
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-dream_answer_to_dialogue,0.04063903288139651
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-adversarial_qa_dbidaf_tell_what_it_is,0.1616374490161737
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-app_reviews_convert_to_star_rating,0.03403831133618951
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-cos_e_v1.11_aligned_with_common_sense,0.04976491207101693
models/result_gpt2_t0-task-adversarial_qa_dbert_answer_the_following_q,models/result_gpt2_t0-task-amazon_polarity_flattering_or_not,0.03920663528454801
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,0.03923325535530845
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-amazon_polarity_user_satisfied,0.04250407963991165
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,0.08552839094772935
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-cos_e_v1.11_rationale,0.04926263323674599
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-cos_e_v1.11_i_think,0.05263979725229243
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-adversarial_qa_dbert_generate_question,0.053768270649015903
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-amazon_polarity_would_you_buy,0.04227072543775042
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-cos_e_v1.11_question_option_description_text,0.07934119024624427
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-adversarial_qa_droberta_question_context_answer,0.18656371782223383
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-cos_e_v1.11_question_option_description_id,0.04033621206569175
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-dream_generate_first_utterance,0.04573742754291743
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-adversarial_qa_dbert_question_context_answer,0.449638011554877
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-adversarial_qa_droberta_tell_what_it_is,0.18258938690026602
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-amazon_polarity_convey_negative_or_positive_sentiment,0.03813626578388115
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-app_reviews_convert_to_rating,0.03826622370009621
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-adversarial_qa_droberta_answer_the_following_q,0.17643188126385212
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-dbpedia_14_given_a_list_of_category_what_does_the_title_belong_to,0.034172278945334256
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-app_reviews_categorize_rating_using_review,0.03654663210424284
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-dbpedia_14_given_a_choice_of_categories_,0.049825474697475634
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-adversarial_qa_droberta_generate_question,0.05361442586096624
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-adversarial_qa_dbidaf_question_context_answer,0.19269703204433122
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-dbpedia_14_given_list_what_category_does_the_paragraph_belong_to,0.05403144517913461
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-cos_e_v1.11_description_question_option_text,0.07838595099747181
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-dream_generate_last_utterance,0.055334532245372735
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-adversarial_qa_dbidaf_based_on,0.21820714510977268
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-app_reviews_generate_review,0.02454049796021233
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-amazon_polarity_Is_this_review_negative,0.029189675386684637
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-dream_baseline,0.09272026332716148
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-adversarial_qa_droberta_based_on,0.21624787958959737
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-dbpedia_14_pick_one_category_for_the_following_text,0.053968986263498664
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-adversarial_qa_dbidaf_answer_the_following_q,0.1669186127061645
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-cos_e_v1.11_description_question_option_id,0.03469167424676319
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-cos_e_v1.11_explain_why_human,0.05262259983768066
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-cos_e_v1.11_generate_explanation_given_text,0.049107410168896116
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_id,0.03826642812540134
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-dream_read_the_following_conversation_and_answer_the_question,0.09786230760316054
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-adversarial_qa_dbert_tell_what_it_is,0.4435327971975009
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-amazon_polarity_User_recommend_this_product,0.027842270365605753
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-amazon_polarity_Is_this_review,0.040779770739997424
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-dream_answer_to_dialogue,0.05362529187308004
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-adversarial_qa_dbidaf_tell_what_it_is,0.18701647532482943
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-app_reviews_convert_to_star_rating,0.03410346177406609
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-cos_e_v1.11_aligned_with_common_sense,0.04966391056465606
models/result_gpt2_t0-task-adversarial_qa_dbert_based_on,models/result_gpt2_t0-task-amazon_polarity_flattering_or_not,0.04639691316212217
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-amazon_polarity_user_satisfied,0.2962358295917511
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-cos_e_v1.11_question_description_option_text,0.11822804746528466
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-cos_e_v1.11_rationale,0.024648317446311314
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-cos_e_v1.11_i_think,0.02462896308861673
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-adversarial_qa_dbert_generate_question,0.021607238799333572
models/result_gpt2_t0-task-amazon_polarity_negative_or_positive_tone,models/result_gpt2_t0-task-amazon_polarity_would_you_buy,0.30830177168051404
